congress,chamber,rollnumber,icpsr,cast_code,prob
117,House,1,21172.0,1,100.0
117,House,1,21174.0,6,100.0
117,House,1,21178.0,6,100.0
117,House,1,21179.0,6,100.0
117,House,1,21187.0,6,100.0
117,House,1,21188.0,6,100.0
117,House,1,21191.0,6,100.0
117,House,1,21193.0,6,100.0
117,House,1,21196.0,6,100.0
117,House,1,21198.0,1,100.0
117,House,1,21302.0,6,100.0
117,House,1,21303.0,1,100.0
117,House,1,21304.0,1,99.3
117,House,1,21306.0,1,100.0
117,House,1,21307.0,9,100.0
117,House,1,21308.0,1,99.9
117,House,1,21309.0,1,100.0
117,House,1,21311.0,1,99.5
117,House,1,21312.0,1,100.0
117,House,1,21313.0,1,100.0
117,House,1,21314.0,1,100.0
117,House,1,21315.0,1,96.6
117,House,1,21321.0,1,100.0
117,House,1,21326.0,1,97.3
117,House,1,21328.0,6,100.0
117,House,1,21329.0,1,99.0
117,House,1,21330.0,6,100.0
117,House,1,21333.0,6,100.0
117,House,1,21337.0,6,100.0
117,House,1,21339.0,1,99.9
117,House,1,21340.0,1,99.7
117,House,1,21342.0,1,100.0
117,House,1,21343.0,1,100.0
117,House,1,21344.0,1,98.9
117,House,1,21346.0,6,100.0
117,House,1,21351.0,6,100.0
117,House,1,21352.0,1,100.0
117,House,1,21353.0,6,100.0
117,House,1,21355.0,6,100.0
117,House,1,21356.0,6,100.0
117,House,1,21358.0,1,100.0
117,House,1,21359.0,6,100.0
117,House,1,21360.0,6,100.0
117,House,1,21362.0,1,100.0
117,House,1,21364.0,6,100.0
117,House,1,21365.0,1,100.0
117,House,1,21366.0,1,99.8
117,House,1,21367.0,6,100.0
117,House,1,21368.0,1,100.0
117,House,1,21370.0,1,100.0
117,House,1,21371.0,1,100.0
117,House,1,21372.0,1,100.0
117,House,1,21373.0,6,100.0
117,House,1,21375.0,1,100.0
117,House,1,21500.0,6,100.0
117,House,1,21502.0,1,100.0
117,House,1,21503.0,6,100.0
117,House,1,21504.0,1,100.0
117,House,1,21506.0,1,99.9
117,House,1,21507.0,1,100.0
117,House,1,21508.0,1,100.0
117,House,1,21510.0,6,100.0
117,House,1,21513.0,6,100.0
117,House,1,21514.0,6,100.0
117,House,1,21515.0,6,100.0
117,House,1,21516.0,6,100.0
117,House,1,21519.0,6,100.0
117,House,1,21523.0,6,100.0
117,House,1,21525.0,1,99.9
117,House,1,21526.0,6,100.0
117,House,1,21529.0,1,100.0
